44,1,717,Oi,ge_forw,earlyS,2.601,0.782,3.057,0.000,3.622,0.000,2.777,0.000,6.644,11.327,14.429
45,1,728,Oi,ge_forw,earlyS,0.000,0.000,2.646,0.000,1.415,0.000,1.836,0.000,6.401,10.104,8.472
46,1,736,Oi2,ge_forw,earlyS,1.571,0.990,2.970,0.487,2.345,0.595,2.635,0.000,17.628,31.868,76.504
47,1,746,Oi,ge_forw,earlyS,1.543,0.623,1.575,0.000,0.000,0.706,2.767,0.000,13.027,23.002,33.290
48,1,753,Oi,ge_forw,earlyS,0.604,0.832,1.944,0.000,2.309,0.993,1.712,0.000,13.898,27.279,29.716
49,1,774,CN,ge_forw,earlyS,0.000,0.000,1.584,0.000,0.446,0.000,0.833,0.000,6.894,16.212,59.365
50,1,792,CN,ig,earlyS,2.062,0.000,0.720,0.000,2.237,0.436,0.707,0.000,14.217,38.521,94.546
51,1,800,CN,ig_ge,earlyS,1.343,4.761,0.000,1.089,1.658,4.979,0.451,0.451,15.373,38.464,198.000
52,1,805,CN,ig,earlyS,3.560,0.000,1.937,0.000,4.442,0.928,4.531,0.000,6.832,16.071,51.102
53,1,810,CN,ig,earlyS,0.972,0.000,0.513,0.000,2.261,0.707,0.503,0.000,29.858,71.008,270.494
54,1,815,CN,ig,earlyS,3.871,2.294,4.532,1.760,4.531,2.864,4.247,1.558,51.358,90.184,378.560
55,1,826,CN,ig,earlyS,0.965,1.414,0.493,0.000,1.079,0.830,1.711,0.483,36.965,104.512,355.518
56,1,837,CN,ig,earlyS,1.473,0.000,0.000,0.000,1.777,0.501,0.000,0.000,18.230,51.355,134.133
57,1,839,CN,ge_forw,earlyS,1.328,2.279,0.797,2.112,1.777,2.924,1.045,2.086,18.324,48.278,144.388
58,1,890,CN,ig,earlyS,0.000,4.758,0.000,2.644,0.000,3.681,0.000,1.070,11.036,25.491,174.720
59,1,895,CN,ig,earlyS,0.000,0.666,0.000,0.781,0.754,0.000,0.766,0.596,9.672,29.710,263.031
60,1,918,CN,ig_ge,earlyS,0.000,3.958,0.000,4.272,0.000,3.940,0.000,4.489,6.991,14.577,43.366
61,1,926,CN,ig,earlyS,1.386,0.000,0.317,0.000,0.306,0.000,0.312,0.000,11.629,32.256,171.451
62,1,934,CN,ig,earlyS,1.482,0.329,0.000,0.000,0.000,0.677,0.689,0.000,17.026,48.746,166.282
63,1,944,CN,ig,earlyS,1.273,0.000,2.460,0.000,2.215,0.000,2.132,0.000,19.438,44.657,168.792
64,1,958,CN,ig,earlyS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.600,11.472,50.624
65,1,966,CN,ge_forw,earlyS,4.953,0.000,5.191,0.000,5.121,0.000,6.279,0.000,6.924,15.237,65.784
66,1,969,CN,ig,earlyS,0.000,0.000,0.465,0.000,0.447,0.000,1.452,0.000,8.779,18.456,101.395
67,1,973,CN,ge_bidi,earlyS,0.000,1.230,1.675,1.403,1.856,2.866,2.075,1.652,10.984,25.321,106.491
68,1,977,CN,ge_bidi,earlyS,4.764,1.180,3.770,1.023,5.589,1.572,3.869,2.258,14.296,33.175,89.482
69,1,989,CN,ig,earlyS,0.394,0.394,0.000,0.000,0.000,0.795,0.000,0.460,11.345,31.841,157.660
70,1,995,CN,ge_reve,earlyS,0.000,3.626,0.000,4.436,0.631,4.038,0.000,4.780,22.890,59.804,248.075
71,1,1004,CN,ig_ge,earlyS,3.544,0.000,3.341,0.000,3.120,0.000,2.642,0.000,8.124,17.139,45.593
72,1,1025,CN,ig,earlyS,1.742,0.000,1.719,0.000,2.274,0.000,1.422,0.000,10.518,28.545,196.136
73,1,1049,CN,ig_ge,earlyS,4.666,1.754,5.050,1.214,5.430,1.178,5.828,1.022,5.686,13.241,116.128
74,1,1070,CN,ge_reve,earlyS,0.630,2.233,0.740,1.669,0.715,1.624,0.409,1.307,16.221,49.116,114.582
75,1,1083,Oi2,ge_reve,earlyS,0.193,1.468,0.000,1.546,0.000,1.504,0.000,2.026,8.960,20.983,39.721
76,1,1088,CN,ig,earlyS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.448,8.885,25.699,96.039
77,1,1095,CN,ig,earlyS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.329,6.925,24.242,57.641
78,1,1105,CN,ig,earlyS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.136,13.355,61.214
79,1,1110,CN,ig_ge,earlyS,0.356,2.725,0.000,0.000,0.409,2.303,0.417,1.227,15.923,49.679,172.464
80,1,1116,Oi2,ig_ge,earlyS,0.394,4.737,0.000,5.523,0.737,4.842,0.000,5.544,6.579,10.407,26.692
81,1,1153,Oi,ig_ge,earlyS,0.746,0.000,0.634,0.000,1.214,0.000,0.000,0.000,4.997,4.710,6.769
82,1,1170,CN,ig_ge,earlyS,0.000,1.124,0.000,0.365,0.000,0.869,0.000,0.358,6.706,18.074,61.453
83,1,1175,CN,ig_ge,earlyS,2.411,0.281,1.211,0.337,2.670,1.004,2.284,0.000,9.030,23.194,121.731
84,1,1185,CN,ge_bidi,earlyS,0.000,4.920,0.000,3.951,0.000,4.270,0.310,3.612,8.700,23.009,99.850
85,1,1197,CN,ig_ge,earlyS,0.520,2.989,1.043,2.656,1.334,3.663,0.602,2.952,7.313,26.283,233.750
86,1,1200,CN,ge_forw,earlyS,5.586,0.000,5.477,0.000,4.856,0.552,6.308,0.000,12.255,27.839,127.719
87,1,1203,CN,ig_ge,earlyS,5.781,0.000,6.003,0.000,5.823,0.000,6.042,0.000,7.721,17.134,43.555
88,1,1211,CN,ig,earlyS,0.367,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.312,27.029,142.165
89,1,1222,CN,ig_ge,earlyS,0.000,0.000,0.000,0.000,0.000,0.355,0.000,0.000,11.129,33.226,97.334
90,1,1262,CN,ig_ge,earlyS,0.000,0.713,0.000,0.476,0.938,0.805,0.000,1.337,8.795,18.048,87.845
91,1,1264,CN,ge_reve,earlyS,0.000,1.674,0.000,1.624,0.000,1.832,0.000,2.257,10.346,24.448,88.581
92,1,1379,Oi,ig,midS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.529,3.760,3.135,1.693
93,1,1476,Oi2,ig,midS,0.315,0.000,1.576,0.000,0.464,0.000,1.554,0.000,4.661,11.613,20.731
94,1,1506,Oi,ge_forw,midS,3.215,0.000,2.744,0.000,3.196,0.000,3.446,0.000,7.236,9.893,15.895
95,1,1555,Oi2,ig,earlyS,1.768,0.000,1.177,0.000,0.851,0.000,2.568,0.000,6.959,10.047,29.954
96,1,1567,CN,ge_forw,earlyS,3.444,2.149,2.269,0.467,2.775,2.218,2.617,0.000,18.801,52.427,139.923
97,1,1577,CN,ig_ge,earlyS,0.587,1.588,0.000,0.000,1.120,0.666,0.000,0.000,7.745,20.743,68.866
98,1,1590,CN,ge_bidi,earlyS,3.011,0.000,4.545,0.000,2.550,0.000,3.238,0.000,6.160,13.424,38.629
99,1,1600,CN,ig,earlyS,0.612,2.319,1.555,1.059,0.694,1.353,0.706,0.000,9.357,22.172,139.623
100,1,1608,CN,ig_ge,earlyS,0.000,1.810,0.000,1.460,0.000,1.420,0.514,0.892,15.535,45.088,270.459
101,1,1613,CN,ig_ge,earlyS,0.000,4.560,0.000,3.215,0.911,3.637,0.926,3.321,13.059,40.417,225.058
102,1,1631,CN,ig,earlyS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.677,36.945,179.881
103,1,1634,CN,ig_ge,earlyS,1.068,0.436,0.740,0.000,0.715,0.317,0.000,0.000,25.888,90.197,312.556
104,1,1637,CN,ig_ge,earlyS,0.000,1.021,0.000,0.000,0.000,0.486,0.000,0.000,16.185,57.246,309.165
105,1,1640,CN,ig_ge,earlyS,0.000,0.000,0.000,0.000,0.000,1.092,0.000,0.000,17.292,53.490,288.190
106,1,1643,CN,ig,earlyS,0.000,1.293,0.000,0.000,0.000,0.886,0.000,0.900,22.094,70.496,265.313
107,1,1650,CN,ig,earlyS,3.754,1.357,2.268,0.967,3.877,0.542,1.262,0.552,27.967,92.046,530.474
108,1,1655,CN,ig_ge,earlyS,0.000,1.872,0.000,1.820,0.000,1.913,0.000,3.073,15.882,47.166,229.552
109,1,1661,Oi,ge_reve,earlyS,0.000,2.824,0.000,5.043,0.000,4.175,0.000,5.123,7.062,9.489,10.065
110,1,1668,CN,ig,earlyS,0.000,0.000,1.744,0.000,0.000,0.000,2.980,0.000,3.346,11.007,99.653
111,1,1674,CN,ge_reve,earlyS,1.360,0.000,0.000,0.000,0.938,0.000,1.522,0.000,10.057,21.559,111.490
112,1,1681,CN,ig,earlyS,2.089,3.761,0.650,3.658,1.895,3.278,1.688,4.188,5.643,16.792,48.305
113,1,1701,CN,ig,earlyS,0.367,2.893,0.000,2.301,0.225,2.470,0.000,3.362,7.482,18.855,68.900
114,1,1704,CN,ig,earlyS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.391,14.227,80.732
115,1,1725,CN,ge_forw,earlyS,2.275,0.403,3.506,0.000,2.552,0.000,4.604,0.000,10.851,27.218,100.747
116,1,1731,CN,ig_ge,earlyS,0.946,3.898,1.093,3.580,0.000,3.845,0.000,3.761,17.696,59.492,205.915
117,1,1739,CN,ig_ge,earlyS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.321,20.018,78.339
118,1,1745,CN,ig,earlyS,0.410,0.000,0.000,0.000,0.000,0.782,0.000,0.000,9.574,29.817,84.683
119,1,1753,CN,ig_ge,earlyS,0.437,0.604,0.518,0.000,0.499,0.000,0.000,0.000,18.977,62.195,290.585
120,1,1756,CN,ge_forw,earlyS,1.170,2.016,0.819,0.000,1.299,1.012,0.604,0.000,22.171,67.810,264.586
121,1,1767,CN,ge_forw,earlyS,0.000,0.000,0.000,0.000,0.616,0.638,0.649,0.000,7.426,30.766,87.936
122,1,1771,CN,ge_forw,earlyS,0.000,0.425,0.000,0.000,0.000,0.486,0.000,0.000,10.817,29.408,101.595
123,1,1777,CN,ig,earlyS,0.915,0.000,3.698,0.000,2.039,0.000,4.248,0.000,8.678,19.054,85.660
124,1,1785,CN,ig,earlyS,0.828,0.000,1.942,0.000,0.539,0.000,0.549,0.000,4.126,15.504,92.525
125,1,1789,Oi2,ge_forw,earlyS,2.932,0.000,3.959,0.000,2.836,0.000,4.005,0.000,10.802,25.040,42.094
126,1,1794,Oi,ge_forw,earlyS,3.970,0.000,4.525,0.000,3.477,0.000,4.302,0.000,9.278,22.181,24.615
